Entity,Code,Year,Unsafe water source (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),Non-exclusive breastfeeding (deaths),Discontinued breastfeeding (deaths),Child wasting (deaths),Child stunting (deaths),Low birth weight (deaths),Secondhand smoke (deaths),Alcohol use (deaths),Drug use (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),Low physical activity (deaths),High blood sugar (deaths),High cholesterol (deaths),High body-mass index (obesity) (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Low bone mineral density (deaths)
Palestine,PSE,1995,69.9792349,31.08033048,47.25850485,75.14110032,547.9374209,61.39178917,2.732486027,307.9580915,39.78058823,640.9321794,229.0771174,0.229166658,65.2634183,510.6940382,396.9608457,12.67692682,283.4792007,1306.56775,1063.539469,1217.763077,1669.423199,837.988782,30.11717194,10.31958009,10.62331607,13.60737907
Palestine,PSE,2000,58.61450223,19.82774081,42.73331452,66.79258127,695.03955,50.56127313,2.50070305,239.8752594,26.71840056,794.2592034,272.9272629,-10.34327655,89.68676762,653.4296642,494.0778015,15.75102181,390.264815,1958.772379,1401.477322,1742.684739,2268.66086,1139.373274,34.11950714,8.579388484,7.197798104,16.6358399
Palestine,PSE,2005,35.51836581,11.42532264,38.21568495,52.73260072,775.5694053,32.08778001,1.24399271,168.1938025,26.39924296,962.5530495,268.4329597,-14.45169719,119.2690953,781.8906035,607.8208655,16.65187235,473.7861877,2424.449291,1643.667981,2095.270962,2787.837355,1418.076819,2.657279291,6.914542714,4.146218251,21.10821744
Palestine,PSE,2006,34.50290851,11.76887035,39.33252746,49.6733074,796.8760906,29.92665114,1.145004719,156.1943324,23.33900914,1020.579055,270.7142204,-15.17475246,124.3776772,806.5128774,626.7353468,17.31559843,490.752499,2502.018028,1682.506336,2146.769902,2869.217247,1458.305033,2.598255377,6.588088767,3.929060117,22.54529212
Palestine,PSE,2010,40.55265729,18.90218413,55.58809652,41.43459479,944.0868045,26.30913177,1.188776258,133.3855319,17.79274848,1315.341012,307.7373205,-21.1979362,147.7105455,951.6275962,732.5584703,21.05647229,630.4361334,3093.740527,1938.273981,2479.525651,3370.983493,1690.729857,2.966170454,6.832209644,4.93504306,31.07047871
Palestine,PSE,2016,39.21954664,15.60372458,59.18343518,31.32706491,1289.377317,19.08322278,1.092090354,86.73366718,11.08560345,1202.136866,412.4688277,-32.02935614,207.8126064,1301.388349,982.2912748,27.8998708,909.7257816,4769.396101,2767.30654,3594.322214,4613.328888,2324.234193,3.283058299,5.775426682,4.136861019,48.32368718
Panama,PAN,1990,121.6558094,118.312946,60.96128465,426.8244924,450.568922,42.57269408,6.804012254,230.1191518,22.74139244,330.0961646,134.1270031,688.7719767,46.77649803,410.4155435,488.1625404,172.8846083,221.7833988,1002.93722,886.3868282,475.3190328,1857.184826,755.8255036,1.848703967,7.508109853,3.214184629,60.26160813
Panama,PAN,1995,93.01233627,92.81746926,49.52848827,409.7657037,488.3894724,38.91270592,5.421331948,243.4893606,24.34396746,317.4576191,143.9557426,807.4551205,58.03480989,457.6585912,512.6833438,363.7766492,239.5707862,1288.577345,912.860653,636.7485569,2057.05416,862.7745475,1.864507316,6.331182178,2.044864706,73.06462234
Panama,PAN,2000,85.41557264,83.59963735,44.06555669,322.2285156,482.9722214,36.80445307,4.951490159,253.6746592,27.5536549,275.9377467,139.3598296,833.6598673,73.76579651,430.2070077,461.7992718,645.5236559,217.4244182,1466.723773,811.8466199,756.2172127,2026.534861,827.8440943,1.802452271,5.644240324,2.146327107,75.1468778
Panama,PAN,2005,96.48332131,86.91401268,50.68083485,347.7134996,516.0047721,39.38074767,5.308731792,213.7054486,29.9534817,226.4046303,130.3467099,964.2985215,96.21780775,481.5672188,528.8960317,623.4022279,252.4164603,1798.918234,956.8214599,961.4308196,2407.807513,911.2545473,1.982092167,5.869130029,2.115137536,77.65312734
